City,Indicator,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
BOISE,Delta Temp  (oC) ,0.00,2.61,3.03,2.43,1.86,1.88,2.67,3.68,2.09,2.74,2.43,1.81,2.60,0.95,1.72,2.69,2.33,2.34,2.59,2.21,1.60,2.25,2.53,3.03,1.88,2.42,2.09,1.82,3.53,3.19,5.27,0.90,2.09,0.50,-0.43,2.52,3.07,2.56,1.50,2.42,2.11,3.28,0.73,2.76,2.72,2.77,3.09,3.52,2.90,3.02,3.07,2.83,4.16,3.22,2.82,3.56,3.82,2.78,2.92,3.30,2.84,4.40,2.47,3.76,4.43,3.90,3.07
BOSTON,Delta Temp  (oC) ,0.00,0.18,0.94,-0.45,-0.47,-0.86,0.06,-2.33,-0.26,-0.46,-0.67,-1.03,-0.68,-1.18,-1.45,-0.43,-1.51,-1.02,-0.58,-0.77,-0.54,-0.78,-0.06,-0.74,0.50,-1.10,-0.08,-0.87,-0.09,-0.85,-0.43,-0.77,0.53,-0.36,-0.78,-0.78,-1.89,-0.51,-1.05,0.52,0.66,-1.13,-0.36,-0.03,-0.43,-0.82,-0.79,0.34,0.17,-0.93,0.10,0.31,-1.20,-0.88,-0.73,0.44,-0.37,-0.18,-0.78,0.87,0.61,1.08,-0.09,-0.61,-0.35,0.65,0.65
COLUMBUS,Delta Temp  (oC) ,0.00,1.19,1.65,1.28,1.24,0.97,0.07,-0.46,1.10,-0.08,0.20,-0.64,0.28,0.14,0.47,-0.48,-0.28,0.03,-0.57,0.44,0.06,-0.74,1.67,0.95,0.58,-0.54,-0.27,-0.72,-0.43,-0.07,0.19,-0.12,0.43,0.18,0.10,1.07,1.50,0.13,-0.34,1.63,2.16,0.52,0.60,0.71,0.45,0.06,0.13,2.63,1.80,0.49,1.53,1.57,0.13,0.80,1.13,1.77,1.83,1.06,0.76,1.23,1.67,2.83,1.18,0.43,0.99,1.98,2.28
DES MOINES,Delta Temp  (oC) ,0.00,1.87,2.64,2.68,1.95,1.98,1.68,1.28,1.65,1.53,1.31,1.17,1.08,1.48,1.10,0.98,1.08,1.31,0.98,1.85,1.96,0.40,2.65,2.12,2.34,2.12,2.87,1.43,1.79,2.10,2.67,1.25,2.30,1.93,0.79,2.21,3.61,2.53,1.18,2.70,2.57,2.14,0.68,1.75,1.67,0.23,1.30,3.09,2.84,2.38,2.52,2.49,2.09,2.21,3.11,3.63,2.56,0.98,1.99,2.71,3.01,5.16,2.21,1.54,3.58,4.47,4.47
MIAMI,Delta Temp  (oC) ,0.00,0.47,0.63,0.15,0.01,-0.03,0.38,-0.34,0.26,-0.11,0.33,-0.32,-0.28,0.62,0.39,-0.48,0.27,-0.61,0.02,0.18,0.49,0.08,-1.71,1.02,0.97,0.12,-0.03,0.05,0.11,0.26,0.07,1.17,-0.05,-0.20,-0.06,0.42,0.59,0.59,1.12,1.48,1.31,0.82,1.02,1.46,0.92,0.62,0.99,1.23,0.57,0.65,0.73,1.16,0.97,0.71,0.62,0.89,1.28,1.20,1.37,0.07,1.42,1.00,1.32,1.15,2.04,1.45,2.02
NASHVILLE,Delta Temp  (oC) ,0.00,0.75,1.02,1.08,0.50,0.92,0.53,-1.03,0.22,-1.03,-0.78,-0.20,-0.84,0.08,0.27,-0.20,-0.29,-0.97,-0.39,-0.27,0.00,0.18,0.67,0.27,0.52,-1.02,-2.87,-2.70,-0.87,-0.56,-0.15,0.12,-0.11,-0.30,-0.23,0.61,0.60,-0.18,-0.09,1.56,1.16,-0.09,-0.07,0.33,0.17,-0.50,-0.55,1.39,0.93,0.21,0.30,0.42,-0.30,0.48,0.70,1.20,1.69,0.10,-0.14,0.15,0.64,1.68,0.01,-0.21,1.08,1.90,1.77
NEW ORLEANS,Delta Temp  (oC) ,0.00,1.87,2.64,2.68,1.95,1.98,1.68,1.28,1.65,1.53,1.31,1.17,1.08,1.48,1.10,0.98,1.08,1.31,0.98,1.85,1.96,0.40,2.65,2.12,2.34,2.12,2.87,1.43,1.79,2.10,2.67,1.25,2.30,1.93,0.79,2.21,3.61,2.53,1.18,2.70,2.57,2.14,0.68,1.75,1.67,0.23,1.30,3.09,2.84,2.38,2.52,2.49,2.09,2.21,3.11,3.63,2.56,0.98,1.99,2.71,3.01,5.16,2.21,1.54,3.58,4.47,4.47
PHOENIX,Delta Temp  (oC) ,0.00,0.26,-0.12,1.63,-0.31,-0.15,0.35,1.52,1.09,0.56,0.08,0.29,0.49,-1.22,-1.31,0.23,0.00,0.12,0.69,0.76,0.25,1.36,1.09,1.67,0.53,1.53,2.89,2.12,1.31,0.85,2.47,1.87,2.16,2.25,1.89,1.44,1.66,1.58,2.08,1.29,2.30,2.95,2.55,2.03,2.33,2.88,2.57,1.24,2.28,2.65,3.23,3.32,3.48,2.79,3.07,3.05,3.53,2.93,3.33,2.84,2.88,3.67,3.27,3.92,3.68,3.70,3.99
SALT LAKE CITY,Delta Temp  (oC) ,0.00,0.23,1.42,1.21,-0.65,0.48,0.62,1.68,0.64,0.74,0.98,0.01,0.64,-1.26,-0.14,0.89,0.73,0.13,0.65,0.47,-0.13,0.89,0.35,1.16,0.02,0.12,1.10,1.45,1.08,1.19,1.68,0.26,1.51,0.11,0.59,1.12,1.42,1.44,0.80,1.45,0.60,1.65,-0.27,2.16,1.73,1.96,1.48,1.22,1.38,1.75,1.77,0.72,2.38,0.78,1.50,1.68,1.77,0.74,0.80,1.01,0.59,3.25,1.43,2.70,3.11,3.10,3.02
SAN DIEGO,Delta Temp  (oC) ,0.00,-0.13,0.47,0.57,-0.02,0.45,1.05,1.71,1.89,0.69,0.64,-0.14,0.68,-0.13,0.13,0.38,0.47,0.94,0.38,0.65,0.11,0.68,0.55,0.71,0.17,1.93,1.59,2.03,-0.13,0.47,0.58,1.58,2.58,2.54,1.15,1.00,0.53,0.69,0.82,0.98,0.28,1.78,0.97,0.57,0.90,-0.11,1.61,0.27,-0.17,0.72,-0.01,-0.02,0.79,1.29,1.00,1.26,0.33,0.75,0.97,0.28,0.64,1.00,0.91,2.88,2.83,2.17,2.08
SAN FRANCISCO,Delta Temp  (oC) ,0.00,-0.34,-0.03,-0.28,-0.49,-1.42,0.77,2.32,1.80,0.52,0.58,0.22,0.20,0.18,-0.28,0.13,0.51,0.36,0.47,0.86,-0.23,0.17,0.42,0.17,-0.36,0.42,0.39,0.77,1.06,0.60,0.63,-0.07,1.42,1.36,0.52,1.23,1.43,1.40,0.82,1.03,0.88,2.06,1.70,0.49,1.19,1.44,2.00,0.64,0.23,1.18,1.07,1.13,1.43,1.79,1.48,0.94,0.83,0.87,1.17,1.41,0.48,0.83,1.09,3.25,2.42,2.02,2.14
ST. PAUL ISLAND,Delta Temp  (oC) ,0.00,0.02,-0.60,-1.19,-1.61,-2.28,-0.03,0.11,-0.15,-0.95,-1.21,-0.73,-0.38,-1.05,-1.26,-0.24,1.32,-1.04,0.37,-0.73,-1.96,-2.10,-1.37,-1.67,-2.02,-2.70,-0.66,1.28,2.35,0.30,0.02,-0.02,0.34,-0.74,-0.05,-0.35,-0.06,-0.81,0.82,0.08,-0.67,-1.05,0.65,-0.61,-0.55,1.38,-0.03,-0.19,-1.20,0.59,0.17,0.51,1.23,1.07,1.52,-0.50,-0.51,-1.69,-1.46,-1.78,-0.30,-2.28,-0.73,1.46,1.28,2.62,0.86
