Year,January,February,March,April,May,June,July,August,September,October,November,December
1951,4.6,5.4,9.6,13.1,19.9,24.6,26.5,26.9,22,16.7,5.9,6.6
1952,6.8,7.4,9.1,14.3,20.8,29.3,28.4,27.1,21.2,11.6,9.1,5.7
1953,7.3,6.7,11.6,13.6,22,27.2,26.5,26.2,22.7,17.4,8.9,3.9
1954,4.5,8.5,9.1,18.5,17.2,25.6,28.9,27.9,24.9,16.3,9,4.4
1955,3.3,5.1,10.4,17.8,21.8,21.9,28,27.2,24.7,15.5,7.9,4.2
1956,2.2,8.3,9.7,14.3,21.2,24.5,27.4,26.6,21.9,17.8,8.7,10.2
1957,3.1,8.6,9.1,17.3,20.9,25.2,26.1,25.3,22.5,13.7,9.2,7.1
1958,1.9,-0.6,6.7,14.7,20.1,23.9,26.7,25.4,22.1,15.3,10.9,2.3
1959,2.8,5.6,8.8,15.4,21.8,23.8,26.2,26.6,23.3,16.6,7.3,6.2
1960,4.4,2,2.4,16.1,18.7,23.9,25.7,26.4,23.1,16.4,8.8,1.5
1961,0.7,8.3,11.2,12.5,17.6,22.4,25.2,24.7,23.1,15.4,9.8,1.5
1962,1.8,7.9,7.4,13.3,24,23.9,26.2,26.5,20.7,17.2,8.8,1.7
1963,-0.6,1.2,12.1,16.4,19.6,24.3,25.3,24.9,21.1,18.6,9.6,-0.8
1964,3.8,2.9,9.4,17,20.9,25.4,25.9,25.1,21.8,13.7,10.9,5.9
1965,4.4,4.2,5.5,16.1,22.1,23.9,25.9,26.1,23.4,15.2,11.1,7.1
1966,1.7,5.2,10.3,14.9,18.5,23.9,27.9,24.7,20.8,13.9,10.4,7.2
1967,5.7,3.1,13.9,17.7,19.1,24.6,24.3,22.6,19.3,15.2,6.8,6
1968,1.1,1.7,8.8,14.8,19,23.8,25.4,26.4,21.1,15.3,9.3,3.4
1969,2.9,4.3,5.9,16.1,20.5,25.1,28.2,25.6,21.6,15.9,8.1,2.9
1970,0.2,3.6,8.2,16.1,20.2,23.1,25.1,26.2,24.9,16.1,8.6,6.2
1971,2,3.7,7,14.4,17.4,25.3,24.9,24.7,23.6,19.3,9.9,9.6
1972,5.4,5.4,10.1,15.8,19.7,22.8,25.2,25.1,24.3,15.7,8.5,6
1973,3.3,4.3,13.8,13.6,17.9,24.5,25.9,25.6,24.6,19,12.6,4.7
1974,7.4,5.4,12.7,14.8,21.1,21.9,25.6,25.3,19.7,15.2,10,5.9
1975,6.3,7,8.5,14.7,21.1,24.5,25.8,26.2,19.9,16.9,11.2,5.9
1976,2.6,10.3,13.3,15.5,17.8,22.9,24.7,23.6,19.3,12.2,4.9,2.5
1977,-4.2,4.8,0,17.2,22.2,25.1,27.9,26.4,19.3,13.9,10.4,3.7
1978,-2.4,-1.6,8.3,16.1,19.3,0,27.9,25.9,24.2,13.9,12,5.8
1979,1.3,0.8,10.4,14.2,18.9,23.2,25.3,24.9,21.7,16,9.2,5.5
1980,4.1,2.1,7.6,14.1,19.9,24.2,28,24.9,21.7,14.3,9.2,5
1981,2,5.8,8.6,17.8,17.8,24.2,28,24.9,21.7,15.8,9.9,3.5
1982,2.4,4.2,11.4,12.6,21.7,22.9,26.6,24.5,20.9,16.2,10.8,9
1983,3.7,5.9,10.1,12.2,18,24.2,26.9,28.4,23.2,16.9,9.9,1.1
1984,0.1,6.3,7.8,14.6,17.9,25.1,24.5,24.7,20.3,19.3,7.8,9.8
1985,-2.3,2.5,11.2,16.6,20.2,24.3,26.8,25.1,21.6,18,13.8,1.2
1986,2.9,7.1,10.4,16,20.3,25,28,25,23.9,16.1,10,4.4
1987,2.2,6.1,11.1,14.4,23,25.3,26.8,27.2,22.3,12.8,11.1,6.7
1988,1.3,3.6,9.6,13.9,19.5,25.2,27.4,27.7,22.7,12.3,10.6,5.8
1989,7.2,3.9,11.4,15.2,18.7,23.7,26.2,25.5,21.4,16.1,10.8,0.6
1990,7.7,9.9,12,14.7,19.1,25.6,26.9,26.4,23.7,15.6,12.4,6.5
1991,4,6.6,11.4,17.7,23.4,25.7,27.3,25.7,22.4,16.2,8.4,6.9
1992,4.4,7.7,10.1,15.3,18.8,22.4,26.6,23.8,21.6,15.2,9.7,5.1
1993,5.3,4,8.4,13.7,19.8,24.4,28.4,27.2,21.7,14.8,8.6,4.6
1994,0.8,6.7,10.4,16.9,17.8,25.6,25.8,25.1,20.6,16.1,12.5,7.4
1995,3.7,4.6,11.9,16.1,20.2,23.7,27.1,28.5,21.5,15.6,6.7,4.2
1996,2.4,5,7,13.2,21.9,24.2,25.3,25.3,20.9,16,7.6,7
1997,3,7.6,12,12.4,17.3,22.2,26.5,24.9,22.1,15.5,7.5,4.2
1998,7.1,7.7,9.7,14.4,21.9,25.3,26.4,26.2,25.1,17.4,11.2,6.1
1999,5.8,7.6,7.5,17,19.8,24.7,27.7,26.4,22.2,15.5,12.2,6.5
2000,4,8.2,11.7,13.7,21.1,24.6,26.8,26.5,21.8,17.7,8.8,-0.6
2001,1.8,7,7.4,17.6,20.4,23,26.6,26,21.2,14.8,12.4,7.2
2002,5.6,4.8,9.8,16.7,18.7,25,26.7,26.6,23.9,16.3,8,4.7
2003,0.3,3.3,11.1,16,19.6,22.2,25.7,26.3,21.2,15.9,12,4.6
2004,3.7,4.9,11.8,15.2,22.1,24.2,25.4,23.5,22.3,18,12,4.5
2005,6.3,7.2,8.7,15.4,19,24.9,27.2,27.7,23.9,16.1,10.7,3.1
2006,7.9,4.8,10.6,18.5,19.2,24.3,27,27.9,21.9,15.3,10.8,8
2007,5.3,2.9,14.6,14.1,21.8,25.5,26.6,30.5,24.4,18.6,9.9,7.9
2008,2.8,6.1,10.3,14.5,19.3,25.6,26.4,26.1,23.3,15.7,8.1,4.8
2009,1.8,6.6,11.1,15,19.8,25.5,24.3,25.1,22.4,13.8,10.7,4
2010,0.6,1.4,9.3,17.1,21.2,27.1,28,27.7,23,16.3,10.5,1.4
2011,1.4,6.5,10.7,17.1,19.6,25.9,28.3,26.9,20.6,14.8,11.1,6.6
2012,6.3,7.6,16.2,16.7,22.7,25,28.6,25.4,21.6,14.7,8.7,8.5
2013,5.6,5.8,7.2,15.1,19.7,25.1,25.4,25.5,22.8,16.6,7.9,5.2
2014,0.2,4,8.5,16.2,21.3,25.5,24.9,26.5,22.8,16.5,6.7,6.2
2015,3.2,0.3,10.4,16.7,21.6,25.5,27.1,25.1,23.4,16.6,13.2,11.7
2016,3,6.7,13.3,16.9,19.8,26.3,28,27.5,24.4,19.8,12.9,6
2017,8.4,10.7,12,18.8,20.8,24.6,27.4,25.4,22.1,17,11.2,4.6
