City,Indicator,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Boise,Temperature (oC) Q1,1.40,3.27,5.67,6.03,2.03,4.27,6.60,5.97,6.23,4.80,6.57,4.40,4.97,1.43,4.57,4.57,5.97,5.97,4.00,5.40,5.13,6.80,4.77,5.30,4.60,4.67,5.87,5.00,5.00,5.00,5.00,0.57,4.83,-0.50,-2.83,4.17,2.60,2.00,-0.83,3.07,2.40,5.20,-0.10,3.23,4.67,2.97,3.50,5.03,3.53,4.33,2.03,1.97,4.83,2.90,3.63,3.30,3.83,1.77,2.57,4.90,2.90,4.53,0.83,3.60,5.43,4.87,2.30
Boise,Temperature (oC) Q2,16.47,19.83,18.97,20.27,19.03,20.63,19.67,21.33,20.17,21.40,22.30,19.90,19.63,18.67,18.23,21.50,19.20,19.67,20.27,19.83,19.37,21.03,20.80,21.37,18.87,22.70,20.63,20.60,24.07,22.60,22.60,12.93,13.30,12.30,15.07,15.47,17.13,15.80,15.17,15.07,12.93,17.20,14.27,15.80,13.53,14.10,15.17,13.63,13.57,16.10,15.10,15.47,15.13,15.97,14.50,16.27,16.47,14.50,15.63,13.47,12.97,15.70,15.73,15.27,17.27,17.30,15.20
Boise,Temperature (oC) Q3,17.17,19.63,18.93,17.47,18.17,17.80,18.10,19.07,17.00,18.33,17.13,18.20,20.00,16.80,16.20,17.70,18.90,17.50,18.30,16.23,16.33,18.00,17.83,18.40,17.83,14.85,12.67,17.00,17.00,17.00,17.60,19.83,20.17,21.03,19.90,19.93,20.57,20.73,21.17,23.00,22.63,20.87,18.60,22.93,21.17,21.73,22.23,24.07,21.70,22.07,23.27,22.17,23.87,22.33,22.70,23.17,23.60,22.90,23.80,22.47,24.07,24.50,24.13,23.77,23.07,21.93,24.03
Boise,Temperature (oC) Q4,-0.90,1.83,2.67,0.10,2.33,-1.03,0.47,2.47,-0.90,0.57,-2.13,-1.13,-0.07,1.03,2.00,1.13,-0.60,0.37,1.93,1.50,-0.30,-2.70,0.87,1.17,0.37,0.37,3.33,0.33,2.80,3.43,5.93,4.40,4.20,3.30,0.30,4.63,6.13,5.83,4.63,2.67,4.60,3.97,4.30,3.20,5.63,6.40,5.60,5.47,6.93,3.73,6.00,5.83,6.93,5.83,4.60,5.63,5.50,6.10,3.83,6.50,5.57,7.00,3.33,6.53,6.07,5.63,4.90
Boston,Temperature (oC) Q1,2.17,1.17,2.37,0.97,0.40,0.23,0.20,-0.13,-0.63,0.53,-0.47,0.87,-0.30,0.63,-1.27,0.70,-0.23,-1.00,-0.33,-0.60,-0.87,0.57,0.57,0.63,1.47,1.57,0.53,-0.77,0.40,-0.33,0.10,-0.90,1.60,-0.03,0.30,0.30,0.07,0.53,1.17,2.70,2.07,0.50,-0.03,-1.60,1.07,0.23,1.07,2.60,1.03,1.60,0.10,3.13,-1.53,-0.67,-0.60,1.83,0.03,1.43,-0.20,2.00,0.23,4.13,0.87,-1.07,-3.20,2.57,2.57
Boston,Temperature (oC) Q2,14.87,15.27,15.17,14.27,15.33,13.70,15.30,13.50,14.93,15.13,13.80,14.63,15.13,14.30,13.93,14.20,12.57,13.83,15.27,14.70,13.67,13.33,17.50,13.77,15.20,19.35,15.80,14.20,15.13,14.40,16.07,13.47,15.20,14.53,14.30,14.30,14.55,14.23,14.23,13.53,16.40,13.67,15.20,15.90,14.03,14.27,13.77,14.50,15.03,14.03,15.40,14.40,12.67,14.53,13.73,14.57,14.63,15.03,14.30,16.70,14.90,15.57,15.07,14.67,14.60,14.47,14.47
Boston,Temperature (oC) Q3,21.17,22.27,22.13,20.27,22.27,20.13,21.23,20.97,22.40,20.90,21.80,19.83,20.33,19.23,20.00,21.03,20.50,21.27,20.93,21.77,22.00,21.27,21.77,20.73,20.87,21.07,21.60,19.00,21.33,22.67,21.10,21.00,23.37,21.37,20.73,20.73,20.60,21.83,20.97,21.27,21.47,19.93,21.67,21.87,21.47,20.50,20.83,21.60,21.80,19.93,20.87,22.70,21.87,20.77,22.10,21.43,21.67,21.13,20.60,22.83,22.63,22.00,21.83,21.33,22.57,22.97,22.97
Boston,Temperature (oC) Q4,6.77,7.00,9.07,7.67,5.10,7.47,8.47,5.80,7.23,6.57,7.17,5.53,7.10,6.10,6.50,7.33,6.10,6.80,6.77,6.03,8.00,6.67,8.33,6.87,12.55,5.03,10.90,6.53,7.73,4.83,6.00,8.33,6.93,7.67,6.53,6.53,7.03,6.33,4.40,9.53,7.67,6.37,6.70,8.70,6.67,6.70,6.13,7.63,7.77,5.67,9.00,5.97,7.17,6.83,6.83,8.90,7.17,6.63,7.13,6.90,9.63,7.60,6.83,7.60,9.60,7.57,7.57
Nashville,Temperature (oC) Q1,6.53,7.77,8.53,7.37,6.27,6.73,6.93,2.67,5.73,2.93,6.73,5.70,4.23,5.37,4.70,5.73,7.57,3.87,4.37,4.00,4.23,6.97,7.13,8.50,7.27,8.73,0.30,1.43,4.17,4.60,5.47,6.00,6.57,4.73,3.80,6.80,6.47,4.83,7.50,9.87,7.33,7.40,5.90,5.97,6.73,4.80,7.53,8.17,6.97,7.97,5.40,6.73,4.90,6.80,7.40,7.77,7.60,6.40,6.50,3.77,6.20,10.03,6.20,4.23,4.63,7.67,10.37
Nashville,Temperature (oC) Q2,19.20,21.47,20.93,20.43,20.50,20.00,21.13,19.57,20.33,19.57,17.50,20.40,20.10,21.10,20.70,19.10,20.47,19.20,20.57,19.80,19.03,19.43,18.67,19.27,19.60,18.73,21.50,17.70,18.77,19.40,17.80,19.07,18.13,19.20,20.37,20.43,20.90,19.53,19.20,19.80,22.27,18.83,19.30,20.10,20.00,19.77,17.30,20.53,20.50,19.80,20.33,20.13,19.27,20.50,19.77,20.67,20.47,19.80,20.10,21.80,20.87,21.47,19.97,21.00,21.27,21.00,21.40
Nashville,Temperature (oC) Q3,25.13,25.57,25.13,27.23,26.63,25.30,24.63,24.73,25.37,25.07,24.33,24.47,23.77,24.27,25.13,24.47,22.07,24.30,25.13,25.40,24.40,24.87,25.37,23.53,23.97,22.53,27.15,25.05,23.97,28.00,28.00,24.00,26.17,23.17,24.50,25.63,25.43,25.93,24.37,25.67,25.13,24.00,25.77,23.83,25.70,23.83,24.50,25.90,25.43,25.03,24.60,25.73,24.40,23.73,26.27,25.60,27.17,25.27,23.93,26.23,25.27,25.20,24.57,24.73,25.20,26.63,24.97
Nashville,Temperature (oC) Q4,9.73,8.80,10.07,9.90,9.20,12.23,10.00,9.50,10.03,8.90,8.90,9.23,9.13,10.17,11.13,10.50,9.33,9.33,8.97,10.30,12.93,10.07,12.10,10.37,11.33,6.53,9.33,8.90,10.23,9.50,9.73,12.00,9.30,12.30,11.00,10.17,10.20,9.57,9.17,11.50,10.50,10.00,9.33,12.00,8.83,10.20,9.07,11.57,11.40,8.63,11.47,9.67,10.83,11.50,9.97,11.37,12.13,9.53,9.50,9.40,10.83,10.63,9.90,9.80,13.83,12.90,10.93
